Date,Filings
2019-03-21,216
2019-03-22,382
2019-03-25,332
2019-03-26,262
2019-03-27,240
2019-03-28,265
2019-03-29,496
2019-04-01,497
2019-04-02,295
2019-04-03,261
2019-04-04,184
2019-04-05,198
2019-04-08,276
2019-04-09,196
2019-04-10,170
2019-04-11,177
2019-04-12,198
2019-04-15,145
2019-04-16,244
2019-04-17,192
2019-04-18,147
2019-04-19,20
2019-04-22,40
2019-04-23,187
2019-04-24,158
2019-04-25,216
2019-04-26,210
2019-04-29,285
2019-04-30,201
2019-05-01,59
2019-05-02,179
2019-05-03,228
2019-05-06,161
2019-05-07,244
2019-05-08,318
2019-05-09,277
2019-05-10,267
2019-05-13,335
2019-05-14,225
2019-05-15,253
2019-05-16,296
2019-05-17,284
2019-05-20,300
2019-05-21,265
2019-05-22,172
2019-05-23,276
2019-05-24,302
2019-05-27,213
2019-05-28,303
2019-05-29,291
2019-05-30,133
2019-05-31,300
2019-06-03,251
2019-06-04,251
2019-06-05,248
2019-06-06,213
2019-06-07,240
2019-06-10,139
2019-06-11,230
2019-06-12,259
2019-06-13,251
2019-06-14,209
2019-06-17,248
2019-06-18,237
2019-06-19,224
2019-06-20,236
2019-06-21,193
2019-06-24,263
2019-06-25,236
2019-06-26,263
2019-06-27,180
2019-06-28,253
2019-07-01,248
2019-07-02,122
2019-07-03,173
2019-07-04,159
2019-07-05,197
2019-07-08,158
2019-07-09,127
2019-07-10,171
2019-07-11,153
2019-07-12,176
2019-07-15,120
2019-07-16,107
2019-07-17,95
2019-07-18,174
2019-07-19,96
2019-07-22,140
2019-07-23,143
2019-07-24,119
2019-07-25,224
2019-07-26,226
2019-07-29,237
2019-07-30,201
2019-07-31,221
2019-08-01,244
2019-08-02,233
2019-08-05,252
2019-08-06,212
2019-08-07,172
2019-08-08,162
2019-08-09,170
2019-08-12,166
2019-08-13,189
2019-08-14,191
2019-08-15,196
2019-08-16,249
2019-08-19,190
2019-08-20,166
2019-08-21,190
2019-08-22,184
2019-08-23,200
2019-08-26,148
2019-08-27,383
2019-08-28,284
2019-08-29,264
2019-08-30,306
2019-09-02,249
2019-09-03,205
2019-09-04,218
2019-09-05,195
2019-09-06,155
2019-09-09,114
2019-09-10,185
2019-09-11,194
2019-09-12,241
2019-09-13,267
2019-09-16,265
2019-09-17,281
2019-09-18,203
2019-09-19,260
2019-09-20,217
2019-09-23,239
2019-09-24,274
2019-09-25,207
2019-09-26,208
2019-09-27,229
2019-09-30,314
2019-10-01,138
2019-10-02,138
2019-10-03,105
2019-10-04,169
2019-10-07,187
2019-10-08,128
2019-10-09,147
2019-10-10,146
2019-10-11,110
2019-10-14,27
