date,Buy,Sell,All Buy (cash and derivative)
2017-11-15,26,-180,130
2017-11-16,33,-177,109
2017-11-17,17,-124,90
2017-11-20,23,-158,115
2017-11-21,22,-131,91
2017-11-22,4,-38,20
2017-11-24,10,-45,30
2017-11-27,18,-138,96
2017-11-28,16,-159,101
2017-11-29,15,-135,98
2017-11-30,25,-169,110
2017-12-01,35,-225,171
2017-12-04,16,-164,119
2017-12-05,23,-105,94
2017-12-06,20,-106,83
2017-12-07,25,-102,90
2017-12-08,24,-99,93
2017-12-11,25,-130,97
2017-12-12,19,-117,81
2017-12-13,20,-129,88
2017-12-14,23,-121,84
2017-12-15,34,-170,153
2017-12-18,17,-110,79
2017-12-19,19,-69,62
2017-12-20,12,-80,58
2017-12-21,6,-60,46
2017-12-22,5,-25,17
2017-12-26,10,-57,48
2017-12-27,9,-51,40
2017-12-28,5,-26,22
2017-12-29,6,-32,20
2018-01-02,10,-198,178
2018-01-03,10,-87,70
2018-01-04,2,-62,51
2018-01-05,7,-66,53
2018-01-08,12,-80,61
2018-01-09,10,-69,54
2018-01-10,9,-63,56
2018-01-11,3,-33,26
2018-01-12,2,-49,38
2018-01-16,11,-171,116
2018-01-17,6,-64,50
2018-01-18,4,-42,35
2018-01-19,6,-49,54
2018-01-22,12,-91,74
2018-01-23,5,-68,69
2018-01-24,2,-60,51
2018-01-25,8,-63,55
2018-01-26,9,-57,58
2018-01-29,12,-92,69
2018-01-30,9,-67,64
2018-01-31,12,-66,68
2018-02-01,15,-165,132
2018-02-02,14,-70,71
2018-02-05,21,-98,97
2018-02-06,23,-60,69
2018-02-07,16,-58,54
2018-02-08,26,-57,74
2018-02-09,33,-65,89
2018-02-12,29,-92,91
2018-02-13,23,-78,101
2018-02-14,21,-110,91
2018-02-15,12,-100,80
2018-02-16,17,-79,69
2018-02-20,23,-162,142
2018-02-21,17,-136,94
2018-02-22,21,-103,112
2018-02-23,25,-119,115
2018-02-26,21,-166,131
2018-02-27,31,-144,123
2018-02-28,43,-143,131
2018-03-01,50,-206,222
2018-03-02,36,-123,130
2018-03-05,34,-188,147
2018-03-06,34,-170,141
2018-03-07,20,-146,108
2018-03-08,30,-147,110
2018-03-09,30,-189,142
2018-03-12,23,-186,126
2018-03-13,37,-149,128
2018-03-14,31,-144,116
2018-03-15,32,-170,149
2018-03-16,22,-96,71
2018-03-19,18,-76,63
2018-03-20,21,-82,77
2018-03-21,13,-67,55
2018-03-22,14,-57,41
2018-03-23,28,-37,56
2018-03-26,13,-63,52
2018-03-27,5,-53,46
2018-03-28,17,-45,46
2018-03-29,10,-49,53
2018-04-02,17,-166,119
2018-04-03,6,-52,44
2018-04-04,5,-53,37
2018-04-05,6,-54,47
2018-04-06,10,-37,45
2018-04-09,9,-52,39
2018-04-10,6,-62,47
2018-04-11,4,-44,34
2018-04-12,7,-51,38
2018-04-13,10,-37,34
2018-04-16,11,-136,81
2018-04-17,7,-69,58
2018-04-18,4,-83,47
2018-04-19,10,-36,28
2018-04-20,5,-53,27
2018-04-23,6,-65,44
2018-04-24,7,-53,39
2018-04-25,8,-41,40
2018-04-26,11,-71,63
2018-04-27,22,-61,64
2018-04-30,29,-84,86
2018-05-01,27,-191,174
2018-05-02,22,-103,100
2018-05-03,17,-77,73
2018-05-04,28,-128,94
2018-05-07,42,-181,147
2018-05-08,28,-147,124
2018-05-09,31,-155,114
2018-05-10,25,-147,108
2018-05-11,39,-143,136
2018-05-14,40,-161,128
2018-05-15,40,-202,171
2018-05-16,29,-163,117
2018-05-17,26,-131,108
2018-05-18,28,-130,87
2018-05-21,22,-156,104
2018-05-22,22,-132,103
2018-05-23,21,-102,79
2018-05-24,9,-52,33
2018-05-25,16,-49,38
2018-05-29,30,-136,96
2018-05-30,17,-171,101
2018-05-31,17,-102,83
2018-06-01,32,-227,200
2018-06-04,18,-137,81
2018-06-05,25,-159,116
2018-06-06,20,-138,97
2018-06-07,19,-130,94
2018-06-08,16,-112,72
2018-06-11,22,-171,103
2018-06-12,19,-130,91
