Date,Transactions,Filings
2018 - Mar,4558,1538
2018 - Mar,4504,1506
2018 - Mar,4499,1488
2018 - Mar,3457,1338
2018 - Mar,2431,896
2018 - Mar,3989,1158
2018 - Mar,3498,1191
2018 - Mar,3752,1165
2018 - Mar,3663,1252
2018 - Mar,9698,3908
2018 - Mar,6015,2419
2018 - Apr,15874,6115
2018 - Apr,4409,1410
2018 - Apr,4157,1424
2018 - Apr,4102,1464
2018 - Apr,4920,1526
2018 - Apr,3916,1694
2018 - Apr,3940,1164
2018 - Apr,3492,1254
2018 - Apr,3754,1502
2018 - Apr,5412,2200
2018 - Apr,8114,2960
2018 - Apr,5150,1632
2018 - Apr,4808,1760
2018 - Apr,4912,1864
2018 - Apr,4314,1552
2018 - Apr,5750,1951
2018 - Apr,6605,2389
2018 - Apr,7528,2445
2018 - Apr,9213,2921
2018 - Apr,6286,2678
2018 - Apr,12412,4249
2018 - May,25305,6741
2018 - May,10412,3772
2018 - May,11392,4030
2018 - May,9506,3676
2018 - May,11378,3628
2018 - May,12712,4370
2018 - May,11506,4410
2018 - May,12792,4472
2018 - May,9093,2966
2018 - May,9867,3419
2018 - May,19958,7136
2018 - May,12180,4998
2018 - May,11342,5170
2018 - May,9550,3484
2018 - May,9502,2778
2018 - May,9664,3766
2018 - May,12536,4890
2018 - May,10342,4590
2018 - May,6790,2352
2018 - May,516,172
2018 - May,9362,3154
2018 - May,11112,3508
2018 - May,11810,5170
2018 - Jun,22128,8168
2018 - Jun,8682,2994
2018 - Jun,9296,3316
2018 - Jun,10694,3732
2018 - Jun,9018,3386
2018 - Jun,8432,3238
2018 - Jun,9470,2822
2018 - Jun,8896,3110
2018 - Jun,7822,3198
2018 - Jun,9668,3342
2018 - Jun,14785,4929
2018 - Jun,6008,2166
2018 - Jun,6844,2534
2018 - Jun,8334,3372
2018 - Jun,4836,1909
2018 - Jun,4283,1625
2018 - Jun,3577,897
2018 - Jun,1092,450
2018 - Jun,696,222
2018 - Jun,1915,810
