Date,Filings
2018-12-05,352
2018-12-06,319
2018-12-07,394
2018-12-10,378
2018-12-11,411
2018-12-12,506
2018-12-13,420
2018-12-14,445
2018-12-17,513
2018-12-18,444
2018-12-19,611
2018-12-20,393
2018-12-21,464
2018-12-24,627
2018-12-25,100
2018-12-26,339
2018-12-27,484
2018-12-28,573
2018-12-31,341
2019-01-01,98
2019-01-02,259
2019-01-03,293
2019-01-04,316
2019-01-07,423
2019-01-08,268
2019-01-09,329
2019-01-10,316
2019-01-11,361
2019-01-14,271
2019-01-15,269
2019-01-16,302
2019-01-17,248
2019-01-18,303
2019-01-21,204
2019-01-22,223
2019-01-23,294
2019-01-24,661
2019-01-25,268
2019-01-28,269
2019-01-29,209
2019-01-30,228
2019-01-31,285
2019-02-01,428
2019-02-04,265
2019-02-05,169
2019-02-06,168
2019-02-07,317
2019-02-08,353
2019-02-11,264
2019-02-12,290
2019-02-13,359
2019-02-14,374
2019-02-15,297
2019-02-18,332
2019-02-19,253
2019-02-20,324
2019-02-21,602
2019-02-22,386
2019-02-25,379
2019-02-26,333
2019-02-27,316
2019-02-28,357
2019-03-01,421
2019-03-04,230
2019-03-05,505
2019-03-06,475
2019-03-07,406
2019-03-08,475
2019-03-11,595
2019-03-12,510
2019-03-13,585
2019-03-14,437
2019-03-15,612
2019-03-18,918
2019-03-19,548
2019-03-20,504
2019-03-21,317
2019-03-22,470
2019-03-25,363
2019-03-26,457
2019-03-27,421
2019-03-28,647
2019-03-29,494
2019-04-01,347
2019-04-02,257
2019-04-03,255
2019-04-04,251
2019-04-05,179
2019-04-08,232
2019-04-09,204
2019-04-10,250
2019-04-11,219
2019-04-12,241
2019-04-15,186
2019-04-16,204
2019-04-17,220
2019-04-18,207
2019-04-19,129
2019-04-22,169
2019-04-23,200
2019-04-24,210
2019-04-25,219
2019-04-26,274
2019-04-29,216
2019-04-30,303
2019-05-01,130
2019-05-02,259
2019-05-03,317
2019-05-06,245
2019-05-07,276
2019-05-08,302
2019-05-09,282
2019-05-10,367
2019-05-13,286
2019-05-14,367
2019-05-15,397
2019-05-16,371
2019-05-17,390
2019-05-20,452
2019-05-21,417
2019-05-22,368
2019-05-23,557
2019-05-24,520
2019-05-27,464
2019-05-28,513
2019-05-29,521
2019-05-30,449
2019-05-31,403
2019-06-03,546
2019-06-04,346
2019-06-05,228
2019-06-06,268
2019-06-07,252
2019-06-10,396
2019-06-11,395
2019-06-12,349
2019-06-13,394
2019-06-14,352
2019-06-17,317
2019-06-18,487
2019-06-19,321
2019-06-20,426
2019-06-21,423
2019-06-24,429
2019-06-25,408
2019-06-26,432
2019-06-27,460
2019-06-28,787
2019-07-01,386
2019-07-02,277
2019-07-03,324
2019-07-04,266
2019-07-05,272
2019-07-08,278
2019-07-09,266
2019-07-10,258
2019-07-11,259
2019-07-12,300
2019-07-15,315
2019-07-16,267
2019-07-17,262
2019-07-18,231
2019-07-19,345
2019-07-22,307
2019-07-23,222
2019-07-24,382
2019-07-25,348
2019-07-26,444
2019-07-29,358
2019-07-30,310
2019-07-31,376
2019-08-01,448
2019-08-02,403
2019-08-05,412
2019-08-06,407
2019-08-07,496
2019-08-08,483
2019-08-09,482
2019-08-12,208
2019-08-13,465
2019-08-14,444
2019-08-15,275
2019-08-16,534
2019-08-19,512
2019-08-20,514
2019-08-21,505
2019-08-22,485
2019-08-23,547
2019-08-26,537
2019-08-27,558
2019-08-28,613
2019-08-29,596
2019-08-30,648
2019-09-02,481
2019-09-03,641
2019-09-04,591
2019-09-05,584
2019-09-06,602
2019-09-09,574
2019-09-10,426
2019-09-11,533
2019-09-12,524
2019-09-13,387
2019-09-16,431
2019-09-17,501
2019-09-18,525
2019-09-19,516
2019-09-20,769
2019-09-23,667
2019-09-24,646
2019-09-25,577
2019-09-26,564
2019-09-27,795
2019-09-30,585
2019-10-01,293
2019-10-02,313
2019-10-03,343
2019-10-04,290
2019-10-07,230
2019-10-08,279
2019-10-09,251
2019-10-10,259
2019-10-11,164
2019-10-14,27
