Date,ADAS,HFR Equity Hedge Index
2017-04-27,124.78142449,103.514653775
2017-04-28,124.649658366,103.538044372
2017-04-29,124.649658366,103.538044372
2017-04-30,124.649658366,103.538044372
2017-05-01,124.462431025,103.616013029
2017-05-02,124.920138511,103.850785317
2017-05-03,125.18403638,103.624676213
2017-05-04,124.824818386,103.634205715
2017-05-05,124.734008154,103.920090789
2017-05-06,124.734008154,103.920090789
2017-05-07,124.734008154,103.920090789
2017-05-08,125.47706673,103.732099695
2017-05-09,124.744612871,103.680986909
2017-05-10,124.525693335,103.77281666
2017-05-11,123.104423177,103.566632879
2017-05-12,122.946937689,103.450546213
2017-05-13,122.946937689,103.450546213
2017-05-14,122.946937689,103.450546213
2017-05-15,123.424026174,103.689650093
2017-05-16,123.5371427,103.715639645
2017-05-17,123.677685069,102.9463489
2017-05-18,123.205472381,102.9463489
2017-05-19,123.18889492,103.399433427
2017-05-20,123.18889492,103.399433427
2017-05-21,123.18889492,103.399433427
2017-05-22,123.98083256,103.342256412
2017-05-23,124.487418987,103.276416213
2017-05-24,125.206586585,103.310202631
2017-05-25,125.212925073,103.21837288
2017-05-26,124.670745843,103.199313875
2017-05-27,124.670745843,103.199313875
2017-05-28,124.670745843,103.199313875
2017-05-29,124.670745843,103.199313875
2017-05-30,124.233394471,102.925557258
2017-05-31,123.239602333,102.949814173
2017-06-01,123.063101541,103.409829247
2017-06-02,123.063101541,103.670591087
2017-06-03,123.063101541,103.670591087
2017-06-04,123.063101541,103.670591087
2017-06-05,123.063101541,103.478268401
2017-06-06,123.063101541,103.25042666
2017-06-07,123.058179017,103.279015167
2017-06-08,123.992227958,103.453145167
2017-06-09,124.639539872,103.664526858
2017-06-10,124.639539872,103.664526858
2017-06-11,124.639539872,103.664526858
2017-06-12,124.890588599,103.360449097
2017-06-13,125.978466417,103.634205714
2017-06-14,124.975502139,103.492129495
2017-06-15,124.598929048,103.137805267
2017-06-16,124.931199422,103.374310192
2017-06-17,124.931199422,103.374310192
2017-06-18,124.931199422,103.374310192
2017-06-19,125.141637326,103.762420838
2017-06-20,124.703532685,103.350919595
2017-06-21,124.58785337,103.490396858
2017-06-22,124.2002046,103.520718002
2017-06-23,124.760141712,103.66885845
2017-06-24,124.760141712,103.66885845
2017-06-25,124.760141712,103.66885845
2017-06-26,124.989039081,103.759821883
2017-06-27,124.395874932,103.490396859
2017-06-28,125.20563014,103.972936212
2017-06-29,124.62354167,103.742495516
2017-06-30,124.496786675,103.836924222
2017-07-01,124.496786675,103.836924222
2017-07-02,124.496786675,103.836924222
2017-07-03,125.030880536,104.020583724
2017-07-04,125.038264322,104.020583724
2017-07-05,125.15763553,104.139269346
2017-07-06,123.865472964,103.859448501
2017-07-07,124.191590183,104.004123675
2017-07-08,124.191590183,104.004123675
2017-07-09,124.191590183,104.004123675
2017-07-10,123.09755921,104.069963874
2017-07-11,123.261233135,104.165258899
2017-07-12,123.481516087,104.501390441
2017-07-13,123.080330376,104.582824371
2017-07-14,122.997878098,104.772548102
2017-07-15,122.997878098,104.772548102
2017-07-16,122.997878098,104.772548102
2017-07-17,122.943730333,104.748291187
2017-07-18,123.467979146,104.576760142
2017-07-19,124.178053242,104.99086034
2017-07-20,124.003303638,105.108679643
2017-07-21,124.226047852,104.93108437
2017-07-22,124.226047852,104.93108437
2017-07-23,124.226047852,104.93108437
2017-07-24,123.922081991,104.989994022
2017-07-25,123.947925242,105.100882778
2017-07-26,123.316611531,105.307066559
2017-07-27,123.646420643,104.961405515
2017-07-28,123.539355745,104.851383077
2017-07-29,123.539355745,104.851383077
2017-07-30,123.539355745,104.851383077
2017-07-31,124.062373927,104.739628003
2017-08-01,123.850705392,104.792473426
2017-08-02,123.384296237,104.720568998
2017-08-03,124.024224365,104.510919944
2017-08-04,124.125136108,104.633070839
2017-08-05,124.125136108,104.633070839
2017-08-06,124.125136108,104.633070839
2017-08-07,124.125136108,104.931950689
2017-08-08,123.518435017,104.805468202
2017-08-09,123.896238739,104.417357556
2017-08-10,122.845279852,103.596954025
2017-08-11,122.509317585,103.571830791
2017-08-12,122.509317585,103.571830791
2017-08-13,122.509317585,103.571830791
2017-08-14,123.01264567,104.102883974
2017-08-15,122.857586162,104.048305914
2017-08-16,122.767750098,104.25708865
2017-08-17,120.783972901,103.803137805
2017-08-18,121.003025222,103.825662084
2017-08-19,121.003025222,103.825662084
2017-08-20,121.003025222,103.825662084
2017-08-21,120.61291519,103.635072035
2017-08-22,120.889807168,104.160927308
2017-08-23,120.761821542,104.348918402
2017-08-24,121.112551381,104.398298551
2017-08-25,121.334064964,104.56203273
2017-08-26,121.334064964,104.56203273
2017-08-27,121.334064964,104.56203273
2017-08-28,121.255304579,104.529978949
2017-08-29,121.564192964,104.296939298
2017-08-30,121.633108301,104.700643676
2017-08-31,123.034797028,105.25855273
2017-09-01,123.671033263,105.560031536
2017-09-02,123.671033263,105.560031536
2017-09-03,123.671033263,105.560031536
2017-09-04,123.637806226,105.560031536
2017-09-05,122.561004088,105.261151686
2017-09-06,122.932654655,105.311398154
2017-09-07,121.597420003,105.441345915
2017-09-08,121.273764046,105.423153228
2017-09-09,121.273764046,105.423153228
2017-09-10,121.273764046,105.423153228
2017-09-11,122.85389427,105.770546909
2017-09-12,124.095600965,106.135266958
2017-09-13,124.701071425,106.10148054
2017-09-14,124.603851575,106.2643484
2017-09-15,124.61000473,106.393429843
2017-09-16,124.61000473,106.393429843
2017-09-17,124.61000473,106.393429843
2017-09-18,125.321309457,106.703571833
2017-09-19,124.843824623,106.723497156
2017-09-20,124.833979575,106.71050238
2017-09-21,124.557087597,106.87337024
2017-09-22,124.323267704,106.896760837
2017-09-23,124.323267704,106.896760837
2017-09-24,124.323267704,106.896760837
2017-09-25,124.363878528,106.648127454
2017-09-26,124.229739747,106.483526957
2017-09-27,124.880743554,106.822257454
